label;title;study;author;year;country;stars;post_2018;matched;center;method;robins;population;n_exp;n_ctrl;baseline;eq_baseline;duration;start;end
1527;Robot-assisted partial nephrectomy is associated with early recovery of renal function: Comparison of open, laparoscopic, and robot-assisted partial nephrectomy using DTPA renal scintigraphy;Choi et al. 2019;Choi et al.;2019;Korea;7;1;0;single;RAPN;Moderate;514;229;285;OPN: older pts, larger tumor size, higher RENAL score;0;3287;1/1/2004;31/12/2012
1875;Comparison of Trifecta and Pentafecta Outcomes across 3 Surgical Modalities of Partial Nephrectomy (PN) - Open, Lap, and Robotic;Deka et al. 2024;Deka et al.;2024;India;6;1;0;single;RPN;Serious;160;107;53;"No special population;No differences";1;3287;1/1/2012;31/12/2020
1650;Morphometric profile of the localised renal tumors managed either by open or robot-assisted nephron-sparing surgery: The impact of scoring systems on the decision making process;Esen et al. 2013;Esen et al.;2013;Turkey;7;0;0;single;RAPN;Moderate;55;32;23;OPN: older pts, higher RENAL & PADUA scores;0;791;1/5/2010;30/6/2012
1536;A multicentre matched-pair analysis comparing robot-assisted versus open partial nephrectomy;Ficarra et al. 2014;Ficarra et al.;2014;Italy;8;0;1;multi;RPN;Low;400;200;200;"No special population;No differences";1;760;1/1/2009;31/1/2011
1726;Purely off-clamp partial nephrectomy: Robotic approach better than open using a Pentafecta outcome with propensity score matching;Gandi et al. 2022;Gandi et al.;2022;Italy;8;1;1;single;RAPN;Low;142;71;71;"Clampless technique;No differences";0;2190;1/1/2014;31/12/2019
1040;Robotic partial nephrectomy for clinical T2a renal mass is associated with improved Trifecta outcome compared to open partial nephrectomy: A single surgeon comparative analysis;Ghali et al. 2019;Ghali et al.;2019;USA;6;1;0;single;RPN;Moderate;150;59;91;"cT2a renal tumors;No differences";0;2921;1/7/2008;30/6/2016
1400;"Achieving the ""Trifecta"" with open versus minimally invasive partial nephrectomy";Ghavimi et al. 2021;Ghavimi et al.;2021;Canada;7;1;0;multi;RPN;Moderate;1030;284;746;OPN: larger tumor size, lower preoperative eGFR;0;2860;1/1/2011;31/10/2018
1538;Comparison of hand-assisted laparoscopic vs. robot-assisted laparoscopic vs. open partial nephrectomy in patients with T1 renal masses;Han et al. 2017;Han et al.;2017;Korea;6;0;0;single;RAPN;Moderate;501;147;354;"cT1 renal tumors;RAPN: higher BMI, higher rate of endophytic tumors";0;1034;1/7/2011;30/4/2014
1748;Comparison of peri- and intraoperative outcomes of open vs robotic-assisted partial nephrectomy for renal cell carcinoma: A propensity-matched analysis;Hoeh et al. 2023;Hoeh et al.;2023;Germany;7;1;1;single;RAPN;Moderate;615;134;481;"No special population;OPN: older pts, higher RENAL score, larger tumors, more pts with previous abdominal surgery";0;6605;1/1/2003;31/1/2021
1725;Comparison of open and robotic-assisted partial nephrectomy approaches using multicentric data (UroCCR-47 study);Ingels et al. 2022;Ingels et al.;2022;France;8;1;0;multi;RPN;Moderate;1969;1409;560;"No special population;No differences";1;1276;1/1/2014;30/6/2017
1648;Comparison of open and robotic nephron sparing surgery: A single centre experience;Jelley et al. 2017;Jelley et al.;2017;UK;6;0;0;single;RAPN;Moderate;159;77;82;"No special population;No differences";1;2190;1/1/2010;31/12/2015
1657;Comparison of robot-assisted partial nephrectomy and open partial nephrectomy: Clinical outcome and complication analysis;Kim et al. 2012;Kim et al.;2012;Korea;5;0;0;single;RAPN;Serious;150;67;83;OPN: older pts, higher rate of endophytic tumors;0;820;1/4/2009;30/6/2011
1066;A single surgeon's experience with open, laparoscopic, and robotic partial nephrectomy;Klaassen et al. 2014;Klaassen et al.;2014;USA;6;0;0;single;RPN;Serious;58;35;23;OPN: higher RENAL score, lower preoperative GFR;0;2037;1/8/2006;28/2/2012
1067;Robotic-assisted versus conventional open partial nephrectomy (Robocop): A propensity score-matched analysis of 249 patients;Kowalewski et al. 2021;Kowalewski et al.;2021;Germany;8;1;1;single;RAPN;Moderate;249;83;166;"No special population;No differences";1;3286;1/1/2010;31/12/2018
1735;Randomized controlled feasibility trial of robot-assisted versus conventional open partial nephrectomy: The ROBOCOP II study;Kowalewski et al. 2023;Kowalewski et al.;2023;Germany;9;1;1;single;RAPN;Low;50;25;25;"No special population;No differences";1;731;1/1/2020;1/1/2022
1778;Transition from open and laparoscopic to robotic partial nephrectomy: Learning curve and outcomes;Kumar et al. 2024;Kumar et al.;2024;India;6;1;0;single;RAPN;Serious;40;25;15;"No special population;OPN: higher RENAL score, larger tumors";0;2464;1/6/2015;28/2/2022
1534;Open versus robot-assisted partial nephrectomy: Effect on clinical outcome;Lee et al. 2011;Lee et al.;2011;Korea;6;0;0;single;RPN;Serious;303;69;234;"No special population;RPN: higher BMI";0;2801;1/5/2003;31/12/2010
1656;Comparison of renal function between robot-assisted and open partial nephrectomy as determined by Tc 99m-DTPA renal scintigraphy;Lee et al. 2016;Lee et al.;2016;Korea;7;0;1;single;RAPN;Low;168;84;84;OPN: higher rate of endophytic tumors, higher RENAL score;0;2556;1/1/2007;31/12/2013
1523;Open partial nephrectomy vs. robot-assisted partial nephrectomy for a renal tumor larger than 4 cm: A propensity score matching analysis;Lee et al. 2021;Lee et al.;2021;Korea;8;1;1;single;RAPN;Low;134;67;67;"Tumors larger than 4 cm;No differences";0;5082;1/6/2003;30/4/2017
1877;Outcomes of open versus robotic partial nephrectomy: A 20-year single institution experience;Love et al. 2024;Love et al.;2024;USA;6;1;0;single;RAPN;Moderate;1234;849;385;"No special population;OPN: higher RENAL score, larger tumors";0;8400;1/1/2000;31/12/2022
1077;A comparison of robotic, laparoscopic and open partial nephrectomy;Lucas et al. 2012;Lucas et al.;2012;USA;7;0;1;single;RPN;Moderate;81;27;54;"No special population;No differences";1;2556;1/1/2004;31/12/2010
1079;Robotic-assisted partial nephrectomy provides better operative outcomes as compared to the laparoscopic and open approaches: Results from a prospective cohort study;Luciani et al. 2017;Luciani et al.;2017;Italy;6;0;1;single;RAPN;Serious;183;110;73;RAPN: higher preoperative Hb;0;4198;1/1/2005;30/6/2016
1081;Robotic and open partial nephrectomy for localized renal tumors larger than 7 cm:  A single-center experience;Malkoc et al. 2017;Malkoc et al.;2017;USA;7;0;0;single;RPN;Serious;110;54;56;"Tumors larger than 7 cm;No differences";0;2524;1/1/2009;30/11/2015
1779;Robotic-assisted laparoscopic partial nephrectomy vs. laparoscopic and open partial nephrectomy: A single-site, two-surgeon, retrospective cohort study;Masoumi-Ravandi et al. 2024;Masoumi-Ravandi et al.;2024;Canada;6;1;0;single;RAPN;Serious;188;82;106;"No special population;OPN: younger pts, higher preoperative Cr, larger tumors";0;2372;1/2/2015;31/7/2021
1542;A prospective comparison of the pathologic and surgical outcomes obtained after elective treatment of renal cell carcinoma by open or robot-assisted partial nephrectomy;Masson-Lecomte et al. 2013;Masson-Lecomte et al.;2013;France;7;0;0;single;RAPN;Moderate;100;42;58;"No special population;OPN: higher RENAL score";0;1095;1/1/2008;31/12/2010
1537;Optimum outcome achievement in partial nephrectomy for T1 renal masses: A contemporary analysis of open and robot-assisted cases;Maurice et al. 2017;Maurice et al.;2017;USA;6;0;0;single;RPN;Serious;605;415;190;"cT1 renal tumors; RPN: higher RENAL score";0;1825;1/1/2011;31/12/2015
1083;Margin and complication rates in clampless partial nephrectomy: A comparison of open, laparoscopic and robotic surgeries;Mearini et al. 2016;Mearini et al.;2016;Italy;6;0;0;single;RAPN;Serious;111;31;80;RAPN: higher ASA score, higher CCI;0;3651;1/1/2006;31/12/2015
1084;Trifecta outcomes in open, laparoscopic or robotic partial nephrectomy: Does the surgical approach matter?;Mehra et al. 2019;Mehra et al.;2019;India;6;1;1;single;RAPN;Moderate;39;13;26;"No special population;No differences";1;2768;1/1/2011;31/7/2018
1091;Early single-center experience with robotic partial nephrectomy using the da Vinci Xi: Comparative assessment with conventional open partial nephrectomy;Motoyama et al. 2019;Motoyama et al.;2019;Japan;7;1;1;single;RAPN;Low;74;37;37;"No special population;OPN: retroperitoneal approach";0;2618;1/7/2010;31/8/2017
1098;Comparison of robotic and open partial nephrectomy: Single-surgeon matched cohort study;Oh et al. 2014;Oh et al.;2014;Korea;8;0;1;single;RPN;Low;200;100;100;"No special population;No differences";1;3683;1/5/2003;31/5/2013
1100;Comparison of the width of peritumoral surgical margin in open and robotic partial nephrectomy: A propensity score matched analysis;Oh et al. 2016;Oh et al.;2016;Korea;7;0;1;single;RPN;Serious;598;299;299;"No special population;No differences";1;4474;1/5/2003;31/7/2015
1113;Partial nephrectomy in clinical T1b renal tumors: Multicenter comparative study of open, laparoscopic and robot-assisted approach (the RECORd Project);Porpiglia et al. 2016;Porpiglia et al.;2016;Italy;9;0;0;multi;RAPN;Low;228;95;133;"No special population;OPN: older pts";0;1825;1/1/2009;31/12/2013
1878;Comparing open and robot-assisted partial nephrectomy - A single institution report;Roaldsen et al. 2024;Roaldsen et al.;2024;Norway;7;1;0;multi;RAPN;Moderate;197;122;75;"No special population;No differences";1;4017;1/1/2010;31/12/2020
1123;Comparative analysis of robotic-assisted partial nephrectomy versus open partial nephrectomy during the initial robotic learning curve: Does the end justify the means?;Saoud et al. 2017;Saoud et al.;2017;Lebanon;5;0;0;single;RAPN;Serious;34;15;19;OPN: higher RENAL score;0;760;1/7/2013;31/7/2015
1055;Comparative analysis of perioperative outcomes between robot-assisted partial nephrectomy and open partial nephrectomy: A propensity-matched study;Sawada et al. 2021;Sawada et al.;2021;Japan;7;1;1;single;RAPN;Low;116;58;58;"No special population;No differences";1;5843;1/1/2005;31/12/2020
1131;Comparative outcomes and predictive assessment of Trifecta in open, laparoscopic, and robotic-assisted partial nephrectomy cases with renal cell carcinoma: A 10-year experience at Ramathibodi hospital;Soisrithong et al. 2021;Soisrithong et al.;2021;Thailand;7;1;0;single;RAPN;Serious;59;41;18;"No special population;No differences";1;3651;1/1/2009;31/12/2018
1525;Lower incidence of postoperative acute kidney injury in robot-assisted partial nephrectomy than in open partial nephrectomy: A propensity score-matched study;Tachibana et al. 2020;Tachibana et al.;2020;Japan;8;1;1;multi;RAPN;Low;822;411;411;"No special population;No differences";1;5478;1/1/2004;31/12/2018
1539;A propensity score-matched comparison of surgical precision obtained by using volumetric analysis between robot-assisted laparoscopic and open partial nephrectomy for T1 renal cell carcinoma: A retrospective non-randomized observational study of initial outcomes;Takagi et al. 2016;Takagi et al.;2016;Japan;7;0;1;single;RAPN;Low;96;48;48;"cT1 renal tumors;No differences";0;1095;1/1/2012;31/12/2014
1511;Perioperative and long-term functional outcomes of robot-assisted versus open partial nephrectomy: A single-center retrospective study of a Japanese cohort;Takahara et al. 2022;Takahara et al.;2022;Japan;7;1;1;single;RAPN;Low;78;39;39;"No special population;No differences";1;3713;1/8/2007;30/9/2017
1135;Comparison of perioperative, renal and oncologic outcomes in robotic?assisted versus open partial nephrectomy;Tan et al. 2018;Tan et al.;2018;Australia;8;1;0;single;RAPN;Moderate;200;145;55;OPN: older pts, higher preoperative eGFR, lower RENAL score;0;2556;1/1/2010;31/12/2016
1142;Open versus robotic-assisted partial nephrectomy: A multicenter comparison study of perioperative results and complications;Vittori et al. 2014;Vittori et al.;2014;Italy;9;0;0;multi;RAPN;Low;303;105;198;"OPN: larger tumor size;RAPN: higher CCI";0;729;1/1/2010;31/12/2011
1153;A propensity-score matched comparison of perioperative and early renal functional outcomes of robotic versus open partial nephrectomy;Wu et al. 2014;Wu et al.;2014;China;8;0;1;single;RPN;Low;145;51;94;"No special population;No differences";1;1825;1/1/2009;31/12/2013
1663;Predictors of renal function after open and robot?assisted partial nephrectomy: A propensity score?matched study;Yu et al. 2019;Yu et al.;2019;Korea;7;1;1;single;RPN;Moderate;606;303;303;"No special population;No differences";1;4837;1/2/2004;30/4/2017
1524;Open versus robot-assisted partial nephrectomy: A longitudinal comparison of 880 patients over 10 years;Zeuschner et al. 2021;Zeuschner et al.;2021;Germany;6;1;1;single;RAPN;Moderate;813;500;313;OPN: larger tumor size, higher PADUA score;0;4382;1/1/2007;31/12/2018
