label;study;year;country;center;matching;stars;robins;post2018;start;end;nexp;mexp;sexp;nctrl;mctrl;sctrl
1662;Chandra et al. 2019;2019;India;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/3/2016;30/4/2018;30;25.26;10.17;20;16.6;3.97
1026;Chang et al. 2018;2018;Korea;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2006;31/12/2012;122;22;14.6;122;27.1;13.2
1527;Choi et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2004;31/12/2012;226;24.9;8.2;271;19.7;7.9
1650;Esen et al. 2013;2013;Turkey;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/5/2010;30/6/2012;32;20.62;2.19;23;16.5;5.21
1536;Ficarra et al. 2014;2014;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/1/2011;180;18;6.667;138;15;5.926
1038;Garisto et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2006;31/12/2016;203;28;9.63;76;37;16.296
1037;Garisto et al. 2018;2018;USA;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2006;31/12/2017;51;28;8.667;102;28.8;9.481
1040;Ghali et al. 2019;2019;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/7/2008;30/6/2016;55;29.4;10.121;82;29.561;11.09
1400;Ghavimi et al. 2021;2021;Canada;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2011;31/10/2018;257;22;8.148;146;21;8.519
1049;Hamilton et al. 2018;2018;USA;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2002;31/12/2015;228;21.5;6.667;328;23.7;7.852
1538;Han et al. 2017;2017;Korea;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1/7/2011;30/4/2014;147;24.7;7.3;354;19.6;6.7
1051;Harke et al. 2018;2018;Germany;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/4/2008;30/9/2016;62;13;2.963;65;18;8.148
1748;Hoeh et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2003;31/1/2021;89;15;5.185;290;16;5.185
1722;Hori et al. 2023;2023;Japan;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2007;30/10/2020;77;20;6.667;43;17.5;9.63
1725;Ingels et al. 2022;2022;France;Multicenter studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2014;30/6/2017;1295;17.4;8.9;500;17.6;7.5
1533;Kara et al. 2016;2016;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2011;31/1/2016;87;24.46;9.714;54;30.774;17.098
1657;Kim et al. 2012;2012;Korea;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/4/2009;30/6/2011;67;31.3;9.5;83;27.8;9.7
1062;Kim et al. 2019;2019;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/6/2003;31/3/2017;85;24;11.111;64;21;8.889
1067;Kowalewski et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2010;31/12/2018;67;16.6;5.1;109;18.5;8.8
1735;Kowalewski et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;9;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2020;1/1/2022;25;15.4;7;25;8.7;7.1
1654;Larcher et al. 2020;2020;Italy;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;31/12/2018;31/12/2019;2405;16;8.148;1063;15;9.63
1676;Laydner et al. 2013;2013;USA;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/3/2002;31/5/2012;554;20;22.5;204;21;13.25
1534;Lee et al. 2011;2011;Korea;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/5/2003;31/12/2010;69;22.99;8.44;232;18.87;8.54
1656;Lee et al. 2016;2016;Korea;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2007;31/12/2013;84;24.4;6.2;84;17.8;5.4
1523;Lee et al. 2021;2021;Korea;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/6/2003;30/4/2017;61;29.4;8.5;65;20.3;8.2
1077;Lucas et al. 2012;2012;USA;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2004;31/12/2010;25;25;5.185;48;20.667;12.522
1079;Luciani et al. 2017;2017;Italy;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2005;30/6/2016;110;23;9;73;4;6
1081;Malkoc et al. 2017;2017;USA;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2009;30/11/2015;54;31.5;9.259;54;35;15.556
1542;Masson-Lecomte et al. 2013;2013;France;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2008;31/12/2010;42;17.5;7.8;58;17.1;5.9
1537;Maurice et al. 2017;2017;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2011;31/12/2015;415;19.682;8.507;190;26.864;12.214
1083;Mearini et al. 2016;2016;Italy;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2006;31/12/2015;3;1.3;5;16;3.3;5
1087;Minervini et al. 2013;2013;Italy;Multicenter studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2010;31/12/2011;104;18.2;7;198;18.7;8.1
1532;Miyake et al. 2015;2015;Japan;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2012;31/5/2014;16;23;7.5;15;20.3;9.1
1091;Motoyama et al. 2019;2019;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1/7/2010;31/8/2017;37;17;7.75;37;19;12
1530;Nelson et al. 2018;2018;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2011;30/9/2016;31;28;8.148;170;35;17.778
1098;Oh et al. 2014;2014;Korea;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/5/2003;31/5/2013;100;21.86;9.25;100;21.18;11.29
1100;Oh et al. 2016;2016;Korea;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Serious;Studies published before 2018;1/5/2003;31/7/2015;299;20.76;7.66;299;17.01;7.69
1113;Porpiglia et al. 2016;2016;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/12/2013;82;18;6.667;107;16;4.444
1644;Pradere et al. 2017;2017;France;Multicenter studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2008;31/12/2015;137;17;9;131;14;11
1123;Saoud et al. 2017;2017;Lebanon;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/7/2013;31/7/2015;15;17.5;1;19;24;2
1055;Sawada et al. 2021;2021;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2005;31/12/2020;57;23;7.407;55;34;13.333
1131;Soisrithong et al. 2021;2021;Thailand;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Serious;Studies published after 2018;1/1/2009;31/12/2018;41;25;7.407;18;28;17.778
1672;Tachibana et al. 2019;2019;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2004;31/12/2016;248;19;8;248;40;21
1525;Tachibana et al. 2020;2020;Japan;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2004;31/12/2018;411;20;9;411;42;20
1539;Takagi et al. 2016;2016;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2012;31/12/2014;48;20;7.7;48;38;15
1535;Takagi et al. 2017;2017;Japan;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2012;31/12/2015;40;21;9.5;40;35;17
1511;Takahara et al. 2022;2022;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1/8/2007;30/9/2017;39;18;8.5;39;24;7.75
1135;Tan et al. 2018;2018;Australia;Single-center studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2010;31/12/2016;144;18;4.815;8;16;6.667
1142;Vittori et al. 2014;2014;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2010;31/12/2011;65;18.2;7;95;18.7;8.1
1144;Wang et al. 2016;2016;China;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2007;31/12/2014;201;23.011;9.427;266;27.653;12.425
1146;Webb et al. 2015;2015;Egypt;Single-center studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2005;31/12/2011;14;28.01;9.34;21;30.69;10.65
1153;Wu et al. 2014;2014;China;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1/1/2009;31/12/2013;51;21;8.889;94;20;7.407
1540;Yoo et al. 2016;2016;Korea;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1/1/2009;31/12/2013;72;24.7;6;113;18.8;5.5
1663;Yu et al. 2019;2019;Korea;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1/2/2004;30/4/2017;303;22;6.667;303;16;5.185
1162;Zargar et al. 2014;2014;USA;Multicenter studies;Studies without patient matching;5;Studies with ROBINS-I: Serious;Studies published before 2018;1/1/2007;31/12/2013;32;17.188;7.413;77;33.43;16.534
1524;Zeuschner et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1/1/2007;31/12/2018;500;15;10.75;313;13;9.5
1733;Zeuschner et al. 2023;2023;Germany;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1/1/2020;31/12/2021;54;13.5;9.75;54;15;6.25
