label;study;year;country;center;matching;stars;robins;post2018;eq_baseline;start;end;evexp;nonevexp;nexp;evctrl;nonevctrl;nctrl
1877;Love et al. 2024;2024;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2000;31/12/2022;29;820;849;27;358;385
1077;Lucas et al. 2012;2012;USA;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;1;1/1/2004;31/12/2010;1;26;27;1;53;54
1079;Luciani et al. 2017;2017;Italy;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;0;1/1/2005;30/6/2016;8;102;110;9;64;73
1081;Malkoc et al. 2017;2017;USA;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Serious;Studies published before 2018;0;1/1/2009;30/11/2015;2;52;54;7;49;56
1779;Masoumi-Ravandi et al. 2024;2024;Canada;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published after 2018;0;1/2/2015;31/7/2021;7;75;82;15;91;106
1542;Masson-Lecomte et al. 2013;2013;France;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published before 2018;0;1/1/2008;31/12/2010;0;42;42;2;56;58
1537;Maurice et al. 2017;2017;USA;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;0;1/1/2011;31/12/2015;23;392;415;21;169;190
1083;Mearini et al. 2016;2016;Italy;Single-center studies;Studies without patient matching;6;Studies with ROBINS-I: Serious;Studies published before 2018;0;1/1/2006;31/12/2015;1;30;31;8;72;80
1084;Mehra et al. 2019;2019;India;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;1;1/1/2011;31/7/2018;2;11;13;2;24;26
1091;Motoyama et al. 2019;2019;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;0;1/7/2010;31/8/2017;1;36;37;1;36;37
1113;Porpiglia et al. 2016;2016;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;0;1/1/2009;31/12/2013;1;94;95;7;126;133
1878;Roaldsen et al. 2024;2024;Norway;Multicenter studies;Studies without patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1;1/1/2010;31/12/2020;5;117;122;5;70;75
1055;Sawada et al. 2021;2021;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1;1/1/2005;31/12/2020;5;53;58;3;55;58
1131;Soisrithong et al. 2021;2021;Thailand;Single-center studies;Studies without patient matching;7;Studies with ROBINS-I: Serious;Studies published after 2018;1;1/1/2009;31/12/2018;3;38;41;2;16;18
1525;Tachibana et al. 2020;2020;Japan;Multicenter studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published after 2018;1;1/1/2004;31/12/2018;19;349;368;22;346;368
1539;Takagi et al. 2016;2016;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published before 2018;0;1/1/2012;31/12/2014;11;37;48;5;43;48
1511;Takahara et al. 2022;2022;Japan;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Low;Studies published after 2018;1;1/8/2007;30/9/2017;2;37;39;2;37;39
1135;Tan et al. 2018;2018;Australia;Single-center studies;Studies without patient matching;8;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2010;31/12/2016;7;138;145;6;49;55
1142;Vittori et al. 2014;2014;Italy;Multicenter studies;Studies without patient matching;9;Studies with ROBINS-I: Low;Studies published before 2018;0;1/1/2010;31/12/2011;1;104;105;18;180;198
1153;Wu et al. 2014;2014;China;Single-center studies;Studies with patient matching;8;Studies with ROBINS-I: Low;Studies published before 2018;1;1/1/2009;31/12/2013;1;50;51;1;93;94
1663;Yu et al. 2019;2019;Korea;Single-center studies;Studies with patient matching;7;Studies with ROBINS-I: Moderate;Studies published after 2018;1;1/2/2004;30/4/2017;5;298;303;28;275;303
1524;Zeuschner et al. 2021;2021;Germany;Single-center studies;Studies with patient matching;6;Studies with ROBINS-I: Moderate;Studies published after 2018;0;1/1/2007;31/12/2018;22;478;500;38;275;313
